Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
51,[267.83342254260185],[1225.3550083096118],[1323.16636418822],[1267.9169924749892],[1165.980257414805],[969.0965873078601],[650.1633010105114],[260.6312756735963],[1223.4446984144008],[1322.6596702867885],[1267.7825961079957],[1165.9446098899186],[969.0871320966894],[650.160793093943]
52,[-71.85439140290339],[675.1987041423491],[1112.428606544695],[1346.2097749086847],[1454.6871791808794],[1450.4684987611454],[1290.110664526054],[923.5606660648572],[1552.4516832690463],[1885.5460951874568],[2027.5533160161888],[2055.1509221805172],[1979.6533884734054],[1756.4779527503915]
53,[431.68652393698653],[1637.8652169950321],[1989.2168285595526],[2044.8580090689056],[1988.3184949364468],[1780.49963814679],[1338.5760008615925],[675.0857632797781],[1762.8079006141998],[2053.3529130933834],[2077.780603815379],[2005.2184546505257],[1789.174793933777],[1343.0291669756987]
54,[389.62551903217184],[975.3253818158005],[1040.8819557185996],[1009.7268994129353],[962.7072699954356],[851.1804853586788],[626.9240492831009],[310.20768070649956],[948.2857616242895],[1031.67569833971],[1006.5924184429339],[961.6400642301666],[850.8171307375076],[626.8003368885251]
55,[832.0592610373793],[1734.0791651007291],[1957.328451671287],[1990.0468964053912],[1984.7254627101547],[1858.8917132599422],[1475.8171969797552],[812.7178174593971],[1723.4399233041534],[1951.4760722690141],[1986.8276496467388],[1982.954636012031],[1857.9176260184595],[1475.2813760803842]
56,[332.2256321165921],[759.0935813451421],[832.8874687787383],[846.3072219125822],[849.7722250316987],[782.7454676157954],[589.0094913646323],[287.6880184760424],[740.759221691518],[825.3399439692278],[843.200206896712],[848.493190838041],[782.2189402381712],[588.7927410378915]
57,[380.6837129737611],[876.1434865724145],[941.1227989994092],[962.6477770001039],[975.5068932049907],[891.8397813049952],[653.1274185089037],[303.0585106341016],[850.0961084289122],[932.3825202278076],[959.7149492665624],[974.5227737347308],[891.5095569550724],[653.0166107009319]
58,[223.04777153158648],[648.4914730095323],[769.4142636298395],[911.2130795736625],[986.6146248507109],[867.161126112336],[550.1790931007453],[176.9266743280699],[637.8970474361713],[766.9806299993515],[910.654052318581],[986.4862113261735],[867.1316283854645],[550.1723172109492]
59,[239.3370365951672],[962.2547107790026],[1222.3886146755062],[1407.147178783139],[1462.9566102661563],[1261.0088405302947],[806.9235746070099],[275.5258042256829],[974.7845368823953],[1226.7268818357527],[1408.6492396895214],[1463.4766766620564],[1261.1889058358995],[806.9859195586125]
60,[424.6375702286323],[1108.0158575670905],[1124.0260589907418],[1120.1356503507695],[1127.0972616267165],[1028.5013686936284],[756.8439413796245],[368.21110586422515],[1095.6005819762677],[1121.2943785685798],[1119.5346102953768],[1126.965017332964],[1028.4722715426597],[756.8375392569283]
61,[351.7303890003881],[694.008874552092],[779.4812206818551],[780.3716931259041],[758.927837987492],[697.4064426342798],[554.2787901993813],[319.385519157108],[675.9787102965347],[769.4305751032051],[774.7691109688113],[755.8047623023189],[695.6655307722427],[553.3083449022117]
62,[206.0402860215899],[662.0905597209838],[751.1309964013232],[771.3708318811273],[755.8418031909622],[659.2357156539663],[462.3341424577245],[209.83161812685495],[663.3497047312169],[751.5491729452859],[771.5097131223661],[755.8879272489622],[659.2510339842709],[462.33922985145114]
63,[132.4062581891032],[380.00684883006903],[500.1483330070333],[591.4645117103788],[608.6438589308468],[506.3388153585809],[310.33747807519956],[110.63025158728101],[372.6633303258061],[497.67187967890374],[590.6293778324095],[608.3622268943332],[506.2438406412534],[310.3054497696023]
64,[231.56749760015873],[938.4986669759255],[1168.4773162651895],[1280.0304981637955],[1241.8820675390753],[989.9178520407617],[576.7923691556025],[163.07323455401445],[917.6826346987648],[1162.1511338888365],[1278.107913546035],[1241.297776509739],[989.7402806590867],[576.7384035904871]
65,[886.3879764440004],[2360.6638594689007],[2895.030780895384],[2861.6866849096914],[2636.968184227922],[2410.3420125036755],[2113.9550758364026],[1530.1920488447254],[2863.984413433929],[3288.522513712478],[3169.3151784723796],[2877.4695268460605],[2598.36391883382],[2260.9490047482795]
66,[702.6734879670807],[1990.884950598463],[2515.8107561574598],[2561.3136930140913],[2403.8615258439595],[2184.4582409075856],[1865.1594418302172],[1306.705584146351],[2463.5599248293493],[2885.694463790538],[2850.759855030623],[2630.362663842739],[2361.7028281473085],[2003.859158676448]
67,[595.4596535558576],[1677.3655064762],[2088.3430473829003],[2085.6599204261993],[1936.9758043058232],[1779.6428560875293],[1565.8317045556678],[1137.2898315046182],[2109.6904594789307],[2433.2940534276177],[2360.8954712423265],[2156.5855665780814],[1954.86893986294],[1705.6441615137605]
68,[222.38313490220105],[1070.5541106914634],[1121.7683113229211],[987.0243473241449],[847.6912033263643],[709.3181290352352],[520.3123250617842],[249.45303319154982],[1079.0731742517307],[1124.4493130455037],[987.8680750631906],[847.9567296375333],[709.4016917992174],[520.3386227777943]
69,[212.2455897031473],[1059.0925269404618],[1289.5567632562438],[1413.185807396019],[1405.631891633088],[1167.6815013391947],[724.5310772365121],[242.02309887972274],[1067.509370596744],[1291.9358493213074],[1413.8582745031817],[1405.8219696705562],[1167.735228369027],[724.5462635977196]
70,[619.1651343543676],[2378.482622696813],[2636.5087544416206],[2414.6850664018602],[2131.2376194230064],[1831.660972767052],[1391.4646421347975],[712.9047754909143],[2419.216143902804],[2654.2090542264473],[2422.376535324676],[2134.579861922275],[1833.1133071697536],[1392.095737938807]
